Hour;Normalized_Traffic
2798;0.00016714134456375355
2799;0.0001754404189739683
2800;0.0002177887527592966
2801;0.00024234959210420935
2802;0.00022147547570968394
2803;0.00016026646852210113
2804;0.00012463502551200852
2805;9.893036887062895e-05
2806;9.057448324626245e-05
2807;7.088938514390702e-05
2808;3.8738957736629255e-05
2809;2.384374427850826e-05
2810;1.5173256120135956e-05
2811;1.4081440137411283e-05
2812;1.4202493568409697e-05
2813;1.902344955761671e-05
2814;2.7927282772806024e-05
2815;3.646692246325721e-05
2816;5.4279465747462346e-05
2817;7.471207808531867e-05
2818;8.620306159083035e-05
2819;9.38195913775379e-05
2820;9.639727726509527e-05
2821;0.00010153549739327779
2822;0.00010197212046319337
2823;9.925887457096726e-05
2824;0.0001016298107867699
2825;0.00010492962233944156
2826;0.00010304362310985258
2827;9.057981058912886e-05
2828;7.415433959050011e-05
2829;6.246400435251291e-05
2830;5.3732720838388254e-05
2831;4.783255429371998e-05
2832;3.8738957736629255e-05
2833;2.384374427850826e-05
2834;1.5173256120135956e-05
2835;1.4081440137411283e-05
2836;1.4202493568409697e-05
2837;1.902344955761671e-05
2838;2.7927282772806024e-05
2839;3.646692246325721e-05
2840;5.4279465747462346e-05
2841;7.471207808531867e-05
2842;8.620306159083035e-05
2843;9.38195913775379e-05
2844;9.639727726509527e-05
2845;0.00010153549739327779
2846;0.00010197212046319337
2847;9.925887457096726e-05
2848;0.0001016298107867699
2849;0.00010492962233944156
2850;0.00010304362310985258
2851;9.057981058912886e-05
2852;7.415433959050011e-05
2853;6.246400435251291e-05
2854;5.3732720838388254e-05
2855;4.783255429371998e-05
2856;3.334562855819721e-05
2857;1.6329665618499895e-05
2858;1.2026098358087638e-05
2859;1.6874716027515625e-05
2860;2.9912034159454597e-05
2861;8.774542860736491e-05
2862;0.00017633452978232288
2863;0.00021116206063546007
2864;0.00024751742382755806
2865;0.00018617697964325335
2866;0.0001489258987607942
2867;0.00015330599129701275
2868;0.00016633542380428988
2869;0.00016388765647608507
2870;0.00016714134456375355
2871;0.0001754404189739683
2872;0.0002177887527592966
2873;0.00024234959210420935
2874;0.00022147547570968394
2875;0.00016026646852210113
2876;0.00012463502551200852
2877;9.893036887062895e-05
2878;9.057448324626245e-05
2879;7.088938514390702e-05
2880;3.334562855819721e-05
2881;1.6329665618499895e-05
2882;1.2026098358087638e-05
2883;1.6874716027515625e-05
2884;2.9912034159454597e-05
2885;8.774542860736491e-05
2886;0.00017633452978232288
2887;0.00021116206063546007
2888;0.00024751742382755806
2889;0.00018617697964325335
2890;0.0001489258987607942
2891;0.00015330599129701275
2892;0.00016633542380428988
2893;0.00016388765647608507
2894;0.00016714134456375355
2895;0.0001754404189739683
2896;0.0002177887527592966
2897;0.00024234959210420935
2898;0.00022147547570968394
2899;0.00016026646852210113
2900;0.00012463502551200852
2901;9.893036887062895e-05
2902;9.057448324626245e-05
2903;7.088938514390702e-05
2904;3.334562855819721e-05
2905;1.6329665618499895e-05
2906;1.2026098358087638e-05
2907;1.6874716027515625e-05
2908;2.9912034159454597e-05
2909;8.774542860736491e-05
2910;0.00017633452978232288
2911;0.00021116206063546007
2912;0.00024751742382755806
2913;0.00018617697964325335
2914;0.0001489258987607942
2915;0.00015330599129701275
2916;0.00016633542380428988
2917;0.00016388765647608507
2918;0.00016714134456375355
2919;0.0001754404189739683
2920;0.0002177887527592966
2921;0.00024234959210420935
2922;0.00022147547570968394
2923;0.00016026646852210113
2924;0.00012463502551200852
2925;9.893036887062895e-05
2926;9.057448324626245e-05
2927;7.088938514390702e-05
2928;3.334562855819721e-05
2929;1.6329665618499895e-05
2930;1.2026098358087638e-05
2931;1.6874716027515625e-05
2932;2.9912034159454597e-05
2933;8.774542860736491e-05
2934;0.00017633452978232288
2935;0.00021116206063546007
2936;0.00024751742382755806
2937;0.00018617697964325335
2938;0.0001489258987607942
2939;0.00015330599129701275
2940;0.00016633542380428988
2941;0.00016388765647608507
2942;0.00016714134456375355
2943;0.0001754404189739683
2944;0.0002177887527592966
2945;0.00024234959210420935
2946;0.00022147547570968394
2947;0.00016026646852210113
2948;0.00012463502551200852
2949;9.893036887062895e-05
2950;9.057448324626245e-05
2951;7.088938514390702e-05
2952;3.334562855819721e-05
2953;1.6329665618499895e-05
2954;1.2026098358087638e-05
2955;1.6874716027515625e-05
2956;2.9912034159454597e-05
2957;8.774542860736491e-05
2958;0.00017633452978232288
2959;0.00021116206063546007
2960;0.00024751742382755806
2961;0.00018617697964325335
2962;0.0001489258987607942
2963;0.00015330599129701275
2964;0.00016633542380428988
2965;0.00016388765647608507
2966;0.00016714134456375355
2967;0.0001754404189739683
2968;0.0002177887527592966
2969;0.00024234959210420935
2970;0.00022147547570968394
2971;0.00016026646852210113
2972;0.00012463502551200852
2973;9.893036887062895e-05
2974;9.057448324626245e-05
2975;7.088938514390702e-05
2976;3.8738957736629255e-05
2977;2.384374427850826e-05
2978;1.5173256120135956e-05
2979;1.4081440137411283e-05
2980;1.4202493568409697e-05
2981;1.902344955761671e-05
2982;2.7927282772806024e-05
2983;3.646692246325721e-05
2984;5.4279465747462346e-05
2985;7.471207808531867e-05
2986;8.620306159083035e-05
2987;9.38195913775379e-05
2988;9.639727726509527e-05
2989;0.00010153549739327779
2990;0.00010197212046319337
2991;9.925887457096726e-05
2992;0.0001016298107867699
2993;0.00010492962233944156
2994;0.00010304362310985258
2995;9.057981058912886e-05
2996;7.415433959050011e-05
2997;6.246400435251291e-05
2998;5.3732720838388254e-05
2999;4.783255429371998e-05
3000;3.8738957736629255e-05
3001;2.384374427850826e-05
3002;1.5173256120135956e-05
3003;1.4081440137411283e-05
3004;1.4202493568409697e-05
3005;1.902344955761671e-05
3006;2.7927282772806024e-05
3007;3.646692246325721e-05
3008;5.4279465747462346e-05
3009;7.471207808531867e-05
3010;8.620306159083035e-05
3011;9.38195913775379e-05
3012;9.639727726509527e-05
3013;0.00010153549739327779
3014;0.00010197212046319337
3015;9.925887457096726e-05
3016;0.0001016298107867699
3017;0.00010492962233944156
3018;0.00010304362310985258
3019;9.057981058912886e-05
3020;7.415433959050011e-05
3021;6.246400435251291e-05
3022;5.3732720838388254e-05
3023;4.783255429371998e-05
3024;3.334562855819721e-05
3025;1.6329665618499895e-05
3026;1.2026098358087638e-05
3027;1.6874716027515625e-05
3028;2.9912034159454597e-05
3029;8.774542860736491e-05
3030;0.00017633452978232288
3031;0.00021116206063546007
3032;0.00024751742382755806
3033;0.00018617697964325335
3034;0.0001489258987607942
3035;0.00015330599129701275
3036;0.00016633542380428988
3037;0.00016388765647608507
3038;0.00016714134456375355
3039;0.0001754404189739683
3040;0.0002177887527592966
3041;0.00024234959210420935
3042;0.00022147547570968394
3043;0.00016026646852210113
3044;0.00012463502551200852
3045;9.893036887062895e-05
3046;9.057448324626245e-05
3047;7.088938514390702e-05
3048;3.334562855819721e-05
3049;1.6329665618499895e-05
3050;1.2026098358087638e-05
3051;1.6874716027515625e-05
3052;2.9912034159454597e-05
3053;8.774542860736491e-05
3054;0.00017633452978232288
3055;0.00021116206063546007
3056;0.00024751742382755806
3057;0.00018617697964325335
3058;0.0001489258987607942
3059;0.00015330599129701275
3060;0.00016633542380428988
3061;0.00016388765647608507
3062;0.00016714134456375355
3063;0.0001754404189739683
3064;0.0002177887527592966
3065;0.00024234959210420935
3066;0.00022147547570968394
3067;0.00016026646852210113
3068;0.00012463502551200852
3069;9.893036887062895e-05
3070;9.057448324626245e-05
3071;7.088938514390702e-05
3072;3.334562855819721e-05
3073;1.6329665618499895e-05
3074;1.2026098358087638e-05
3075;1.6874716027515625e-05
3076;2.9912034159454597e-05
3077;8.774542860736491e-05
3078;0.00017633452978232288
3079;0.00021116206063546007
3080;0.00024751742382755806
3081;0.00018617697964325335
3082;0.0001489258987607942
3083;0.00015330599129701275
3084;0.00016633542380428988
3085;0.00016388765647608507
3086;0.00016714134456375355
3087;0.0001754404189739683
3088;0.0002177887527592966
3089;0.00024234959210420935
3090;0.00022147547570968394
3091;0.00016026646852210113
3092;0.00012463502551200852
3093;9.893036887062895e-05
3094;9.057448324626245e-05
3095;7.088938514390702e-05
3096;3.334562855819721e-05
3097;1.6329665618499895e-05
3098;1.2026098358087638e-05
3099;1.6874716027515625e-05
3100;2.9912034159454597e-05
3101;8.774542860736491e-05
3102;0.00017633452978232288
3103;0.00021116206063546007
3104;0.00024751742382755806
3105;0.00018617697964325335
3106;0.0001489258987607942
3107;0.00015330599129701275
3108;0.00016633542380428988
3109;0.00016388765647608507
3110;0.00016714134456375355
3111;0.0001754404189739683
3112;0.0002177887527592966
3113;0.00024234959210420935
3114;0.00022147547570968394
3115;0.00016026646852210113
3116;0.00012463502551200852
3117;9.893036887062895e-05
3118;9.057448324626245e-05
3119;7.088938514390702e-05
3120;3.334562855819721e-05
3121;1.6329665618499895e-05
3122;1.2026098358087638e-05
3123;1.6874716027515625e-05
3124;2.9912034159454597e-05
3125;8.774542860736491e-05
3126;0.00017633452978232288
3127;0.00021116206063546007
3128;0.00024751742382755806
3129;0.00018617697964325335
3130;0.0001489258987607942
3131;0.00015330599129701275
3132;0.00016633542380428988
3133;0.00016388765647608507
3134;0.00016714134456375355
3135;0.0001754404189739683
3136;0.0002177887527592966
3137;0.00024234959210420935
3138;0.00022147547570968394
3139;0.00016026646852210113
3140;0.00012463502551200852
3141;9.893036887062895e-05
3142;9.057448324626245e-05
3143;7.088938514390702e-05
3144;3.8738957736629255e-05
3145;2.384374427850826e-05
3146;1.5173256120135956e-05
3147;1.4081440137411283e-05
3148;1.4202493568409697e-05
3149;1.902344955761671e-05
3150;2.7927282772806024e-05
3151;3.646692246325721e-05
3152;5.4279465747462346e-05
3153;7.471207808531867e-05
3154;8.620306159083035e-05
3155;9.38195913775379e-05
3156;9.639727726509527e-05
3157;0.00010153549739327779
3158;0.00010197212046319337
3159;9.925887457096726e-05
3160;0.0001016298107867699
3161;0.00010492962233944156
3162;0.00010304362310985258
3163;9.057981058912886e-05
3164;7.415433959050011e-05
3165;6.246400435251291e-05
3166;5.3732720838388254e-05
3167;4.783255429371998e-05
3168;3.8738957736629255e-05
3169;2.384374427850826e-05
3170;1.5173256120135956e-05
3171;1.4081440137411283e-05
3172;1.4202493568409697e-05
3173;1.902344955761671e-05
3174;2.7927282772806024e-05
3175;3.646692246325721e-05
3176;5.4279465747462346e-05
3177;7.471207808531867e-05
3178;8.620306159083035e-05
3179;9.38195913775379e-05
3180;9.639727726509527e-05
3181;0.00010153549739327779
3182;0.00010197212046319337
3183;9.925887457096726e-05
3184;0.0001016298107867699
3185;0.00010492962233944156
3186;0.00010304362310985258
3187;9.057981058912886e-05
3188;7.415433959050011e-05
3189;6.246400435251291e-05
3190;5.3732720838388254e-05
3191;4.783255429371998e-05
3192;3.334562855819721e-05
3193;1.6329665618499895e-05
3194;1.2026098358087638e-05
3195;1.6874716027515625e-05
3196;2.9912034159454597e-05
3197;8.774542860736491e-05
3198;0.00017633452978232288
3199;0.00021116206063546007
3200;0.00024751742382755806
3201;0.00018617697964325335
3202;0.0001489258987607942
3203;0.00015330599129701275
3204;0.00016633542380428988
3205;0.00016388765647608507
3206;0.00016714134456375355
3207;0.0001754404189739683
3208;0.0002177887527592966
3209;0.00024234959210420935
3210;0.00022147547570968394
3211;0.00016026646852210113
3212;0.00012463502551200852
3213;9.893036887062895e-05
3214;9.057448324626245e-05
3215;7.088938514390702e-05
3216;3.334562855819721e-05
3217;1.6329665618499895e-05
3218;1.2026098358087638e-05
3219;1.6874716027515625e-05
3220;2.9912034159454597e-05
3221;8.774542860736491e-05
3222;0.00017633452978232288
3223;0.00021116206063546007
3224;0.00024751742382755806
3225;0.00018617697964325335
3226;0.0001489258987607942
3227;0.00015330599129701275
3228;0.00016633542380428988
3229;0.00016388765647608507
3230;0.00016714134456375355
3231;0.0001754404189739683
3232;0.0002177887527592966
3233;0.00024234959210420935
3234;0.00022147547570968394
3235;0.00016026646852210113
3236;0.00012463502551200852
3237;9.893036887062895e-05
3238;9.057448324626245e-05
3239;7.088938514390702e-05
3240;3.334562855819721e-05
3241;1.6329665618499895e-05
3242;1.2026098358087638e-05
3243;1.6874716027515625e-05
3244;2.9912034159454597e-05
3245;8.774542860736491e-05
3246;0.00017633452978232288
3247;0.00021116206063546007
3248;0.00024751742382755806
3249;0.00018617697964325335
3250;0.0001489258987607942
3251;0.00015330599129701275
3252;0.00016633542380428988
3253;0.00016388765647608507
3254;0.00016714134456375355
3255;0.0001754404189739683
3256;0.0002177887527592966
3257;0.00024234959210420935
3258;0.00022147547570968394
3259;0.00016026646852210113
3260;0.00012463502551200852
3261;9.893036887062895e-05
3262;9.057448324626245e-05
3263;7.088938514390702e-05
3264;3.334562855819721e-05
3265;1.6329665618499895e-05
3266;1.2026098358087638e-05
3267;1.6874716027515625e-05
3268;2.9912034159454597e-05
3269;8.774542860736491e-05
3270;0.00017633452978232288
3271;0.00021116206063546007
3272;0.00024751742382755806
3273;0.00018617697964325335
3274;0.0001489258987607942
3275;0.00015330599129701275
3276;0.00016633542380428988
3277;0.00016388765647608507
3278;0.00016714134456375355
3279;0.0001754404189739683
3280;0.0002177887527592966
3281;0.00024234959210420935
3282;0.00022147547570968394
3283;0.00016026646852210113
3284;0.00012463502551200852
3285;9.893036887062895e-05
3286;9.057448324626245e-05
3287;7.088938514390702e-05
3288;3.334562855819721e-05
3289;1.6329665618499895e-05
3290;1.2026098358087638e-05
3291;1.6874716027515625e-05
3292;2.9912034159454597e-05
3293;8.774542860736491e-05
3294;0.00017633452978232288
3295;0.00021116206063546007
3296;0.00024751742382755806
3297;0.00018617697964325335
3298;0.0001489258987607942
3299;0.00015330599129701275
3300;0.00016633542380428988
3301;0.00016388765647608507
3302;0.00016714134456375355
3303;0.0001754404189739683
3304;0.0002177887527592966
3305;0.00024234959210420935
3306;0.00022147547570968394
3307;0.00016026646852210113
3308;0.00012463502551200852
3309;9.893036887062895e-05
3310;9.057448324626245e-05
3311;7.088938514390702e-05
3312;3.8738957736629255e-05
3313;2.384374427850826e-05
3314;1.5173256120135956e-05
3315;1.4081440137411283e-05
3316;1.4202493568409697e-05
3317;1.902344955761671e-05
3318;2.7927282772806024e-05
3319;3.646692246325721e-05
3320;5.4279465747462346e-05
3321;7.471207808531867e-05
3322;8.620306159083035e-05
3323;9.38195913775379e-05
3324;9.639727726509527e-05
3325;0.00010153549739327779
3326;0.00010197212046319337
3327;9.925887457096726e-05
3328;0.0001016298107867699
3329;0.00010492962233944156
3330;0.00010304362310985258
3331;9.057981058912886e-05
3332;7.415433959050011e-05
3333;6.246400435251291e-05
3334;5.3732720838388254e-05
3335;4.783255429371998e-05
3336;3.8738957736629255e-05
3337;2.384374427850826e-05
3338;1.5173256120135956e-05
3339;1.4081440137411283e-05
3340;1.4202493568409697e-05
3341;1.902344955761671e-05
3342;2.7927282772806024e-05
3343;3.646692246325721e-05
3344;5.4279465747462346e-05
3345;7.471207808531867e-05
3346;8.620306159083035e-05
3347;9.38195913775379e-05
3348;9.639727726509527e-05
3349;0.00010153549739327779
3350;0.00010197212046319337
3351;9.925887457096726e-05
3352;0.0001016298107867699
3353;0.00010492962233944156
3354;0.00010304362310985258
3355;9.057981058912886e-05
3356;7.415433959050011e-05
3357;6.246400435251291e-05
3358;5.3732720838388254e-05
3359;4.783255429371998e-05
3360;3.334562855819721e-05
3361;1.6329665618499895e-05
3362;1.2026098358087638e-05
3363;1.6874716027515625e-05
3364;2.9912034159454597e-05
3365;8.774542860736491e-05
3366;0.00017633452978232288
3367;0.00021116206063546007
3368;0.00024751742382755806
3369;0.00018617697964325335
3370;0.0001489258987607942
3371;0.00015330599129701275
3372;0.00016633542380428988
3373;0.00016388765647608507
3374;0.00016714134456375355
3375;0.0001754404189739683
3376;0.0002177887527592966
3377;0.00024234959210420935
3378;0.00022147547570968394
3379;0.00016026646852210113
3380;0.00012463502551200852
3381;9.893036887062895e-05
3382;9.057448324626245e-05
3383;7.088938514390702e-05
3384;3.334562855819721e-05
3385;1.6329665618499895e-05
3386;1.2026098358087638e-05
3387;1.6874716027515625e-05
3388;2.9912034159454597e-05
3389;8.774542860736491e-05
3390;0.00017633452978232288
3391;0.00021116206063546007
3392;0.00024751742382755806
3393;0.00018617697964325335
3394;0.0001489258987607942
3395;0.00015330599129701275
3396;0.00016633542380428988
3397;0.00016388765647608507
3398;0.00016714134456375355
3399;0.0001754404189739683
3400;0.0002177887527592966
3401;0.00024234959210420935
3402;0.00022147547570968394
3403;0.00016026646852210113
3404;0.00012463502551200852
3405;9.893036887062895e-05
3406;9.057448324626245e-05
3407;7.088938514390702e-05
3408;3.334562855819721e-05
3409;1.6329665618499895e-05
3410;1.2026098358087638e-05
3411;1.6874716027515625e-05
3412;2.9912034159454597e-05
3413;8.774542860736491e-05
3414;0.00017633452978232288
3415;0.00021116206063546007
3416;0.00024751742382755806
3417;0.00018617697964325335
3418;0.0001489258987607942
3419;0.00015330599129701275
3420;0.00016633542380428988
3421;0.00016388765647608507
3422;0.00016714134456375355
3423;0.0001754404189739683
3424;0.0002177887527592966
3425;0.00024234959210420935
3426;0.00022147547570968394
3427;0.00016026646852210113
3428;0.00012463502551200852
3429;9.893036887062895e-05
3430;9.057448324626245e-05
3431;7.088938514390702e-05
3432;3.334562855819721e-05
3433;1.6329665618499895e-05
3434;1.2026098358087638e-05
3435;1.6874716027515625e-05
3436;2.9912034159454597e-05
3437;8.774542860736491e-05
3438;0.00017633452978232288
3439;0.00021116206063546007
3440;0.00024751742382755806
3441;0.00018617697964325335
3442;0.0001489258987607942
3443;0.00015330599129701275
3444;0.00016633542380428988
3445;0.00016388765647608507
3446;0.00016714134456375355
3447;0.0001754404189739683
3448;0.0002177887527592966
3449;0.00024234959210420935
3450;0.00022147547570968394
3451;0.00016026646852210113
3452;0.00012463502551200852
3453;9.893036887062895e-05
3454;9.057448324626245e-05
3455;7.088938514390702e-05
3456;3.334562855819721e-05
3457;1.6329665618499895e-05
3458;1.2026098358087638e-05
3459;1.6874716027515625e-05
3460;2.9912034159454597e-05
3461;8.774542860736491e-05
3462;0.00017633452978232288
3463;0.00021116206063546007
3464;0.00024751742382755806
3465;0.00018617697964325335
3466;0.0001489258987607942
3467;0.00015330599129701275
3468;0.00016633542380428988
3469;0.00016388765647608507
3470;0.00016714134456375355
3471;0.0001754404189739683
3472;0.0002177887527592966
3473;0.00024234959210420935
3474;0.00022147547570968394
3475;0.00016026646852210113
3476;0.00012463502551200852
3477;9.893036887062895e-05
3478;9.057448324626245e-05
3479;7.088938514390702e-05
3480;3.8738957736629255e-05
3481;2.384374427850826e-05
3482;1.5173256120135956e-05
3483;1.4081440137411283e-05
3484;1.4202493568409697e-05
3485;1.902344955761671e-05
3486;2.7927282772806024e-05
3487;3.646692246325721e-05
3488;5.4279465747462346e-05
3489;7.471207808531867e-05
3490;8.620306159083035e-05
3491;9.38195913775379e-05
3492;9.639727726509527e-05
3493;0.00010153549739327779
3494;0.00010197212046319337
3495;9.925887457096726e-05
3496;0.0001016298107867699
3497;0.00010492962233944156
3498;0.00010304362310985258
3499;9.057981058912886e-05
3500;7.415433959050011e-05
3501;6.246400435251291e-05
3502;5.3732720838388254e-05
3503;4.783255429371998e-05
3504;3.8738957736629255e-05
3505;2.384374427850826e-05
3506;1.5173256120135956e-05
3507;1.4081440137411283e-05
3508;1.4202493568409697e-05
3509;1.902344955761671e-05
3510;2.7927282772806024e-05
3511;3.646692246325721e-05
3512;5.4279465747462346e-05
3513;7.471207808531867e-05
3514;8.620306159083035e-05
3515;9.38195913775379e-05
3516;9.639727726509527e-05
3517;0.00010153549739327779
3518;0.00010197212046319337
3519;9.925887457096726e-05
3520;0.0001016298107867699
3521;0.00010492962233944156
3522;0.00010304362310985258
3523;9.057981058912886e-05
3524;7.415433959050011e-05
3525;6.246400435251291e-05
3526;5.3732720838388254e-05
3527;4.783255429371998e-05
3528;3.334562855819721e-05
3529;1.6329665618499895e-05
3530;1.2026098358087638e-05
3531;1.6874716027515625e-05
3532;2.9912034159454597e-05
3533;8.774542860736491e-05
3534;0.00017633452978232288
3535;0.00021116206063546007
3536;0.00024751742382755806
3537;0.00018617697964325335
3538;0.0001489258987607942
3539;0.00015330599129701275
3540;0.00016633542380428988
3541;0.00016388765647608507
3542;0.00016714134456375355
3543;0.0001754404189739683
3544;0.0002177887527592966
3545;0.00024234959210420935
3546;0.00022147547570968394
3547;0.00016026646852210113
3548;0.00012463502551200852
3549;9.893036887062895e-05
3550;9.057448324626245e-05
3551;7.088938514390702e-05
3552;3.334562855819721e-05
3553;1.6329665618499895e-05
3554;1.2026098358087638e-05
3555;1.6874716027515625e-05
3556;2.9912034159454597e-05
3557;8.774542860736491e-05
3558;0.00017633452978232288
3559;0.00021116206063546007
3560;0.00024751742382755806
3561;0.00018617697964325335
3562;0.0001489258987607942
3563;0.00015330599129701275
3564;0.00016633542380428988
3565;0.00016388765647608507
3566;0.00016714134456375355
3567;0.0001754404189739683
3568;0.0002177887527592966
3569;0.00024234959210420935
3570;0.00022147547570968394
3571;0.00016026646852210113
3572;0.00012463502551200852
3573;9.893036887062895e-05
3574;9.057448324626245e-05
3575;7.088938514390702e-05
3576;3.334562855819721e-05
3577;1.6329665618499895e-05
3578;1.2026098358087638e-05
3579;1.6874716027515625e-05
3580;2.9912034159454597e-05
3581;8.774542860736491e-05
3582;0.00017633452978232288
3583;0.00021116206063546007
3584;0.00024751742382755806
3585;0.00018617697964325335
3586;0.0001489258987607942
3587;0.00015330599129701275
3588;0.00016633542380428988
3589;0.00016388765647608507
3590;0.00016714134456375355
3591;0.0001754404189739683
3592;0.0002177887527592966
3593;0.00024234959210420935
3594;0.00022147547570968394
3595;0.00016026646852210113
3596;0.00012463502551200852
3597;9.893036887062895e-05
3598;9.057448324626245e-05
3599;7.088938514390702e-05
3600;3.334562855819721e-05
3601;1.6329665618499895e-05
3602;1.2026098358087638e-05
3603;1.6874716027515625e-05
3604;2.9912034159454597e-05
3605;8.774542860736491e-05
3606;0.00017633452978232288
3607;0.00021116206063546007
3608;0.00024751742382755806
3609;0.00018617697964325335
3610;0.0001489258987607942
3611;0.00015330599129701275
3612;0.00016633542380428988
3613;0.00016388765647608507
3614;0.00016714134456375355
3615;0.0001754404189739683
3616;0.0002177887527592966
3617;0.00024234959210420935
3618;0.00022147547570968394
3619;0.00016026646852210113
3620;0.00012463502551200852
3621;9.893036887062895e-05
3622;9.057448324626245e-05
3623;7.088938514390702e-05
3624;3.334562855819721e-05
3625;1.6329665618499895e-05
3626;1.2026098358087638e-05
3627;1.6874716027515625e-05
3628;2.9912034159454597e-05
3629;8.774542860736491e-05
3630;0.00017633452978232288
3631;0.00021116206063546007
3632;0.00024751742382755806
3633;0.00018617697964325335
3634;0.0001489258987607942
3635;0.00015330599129701275
3636;0.00016633542380428988
3637;0.00016388765647608507
3638;0.00016714134456375355
3639;0.0001754404189739683
3640;0.0002177887527592966
3641;0.00024234959210420935
